Title,Poster Image,Run Time,Plot,Director,Writer,IMDB Link,Release Date,Rating,MPAA,User Comments,Tag Line,Keywords,Genres,Cast
50 First Dates,http://ia.media-imdb.com/images/M/MV5BMjA4ODEzNzIwMF5BMl5BanBnXkFtZTcwNDQ0NTQyMQ@@._V1._SX94_SY140_.jpg,99 min,"Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the very next day.",Peter Segal,George Wing,http://www.imdb.com/title/tt0343660/,02/13/2004,R,Rated PG-13 on appeal for crude sexual humor and drug references.,This is what you call a 'feel-good' film,Imagine having to win over the girl of your dreams... every friggin' day.,Short|Term|Memory|Loss|Dream|Veterinarian|Love|Hawaii,Comedy|Romance,Pomaika'i Brown|Amy Hill|Peter Dante|Dan Aykroyd|Blake Clark|Drew Barrymore|Dom Magwili|Adam Sandler|Lusia Strus|Sean Astin|Rob Schneider|Joe Nakashima|Maya Rudolph|Jonathan Loughran|Allen Covert
88 Minutes,http://ia.media-imdb.com/images/M/MV5BMTY3MTI3MjQ4MF5BMl5BanBnXkFtZTcwODM4MzQ4MQ@@._V1._SX100_SY129_.jpg,108 min,"In Seattle, the successful forensic psychiatrist and college professor Jack Gramm is in evidence since...",Jon Avnet,Gary Scott Thompson,http://www.imdb.com/find?s=all&q=88+minutes,04/18/2008,R,"Rated R for disturbing violent content, brief nudity and language.",88 Minutes of Subpar Thriller Fare,He has 88 minutes to solve a murder. His own.,Professor|Seattle|Forensic|Psychiatrist|Psychiatrist|Death|Row,Drama|Mystery|Thriller,Alicia Witt|Neal McDonough|Al Pacino|Trilby Glover|Leah Cairns|Deborah Kara Unger|Amy Brenneman|Damien Leake|Ben McKenzie|Brendan Fletcher|Leelee Sobieski|Christopher Redman|Stephen Moyer|William Forsythe|Michael Eklund
A Lot Like Love,http://ia.media-imdb.com/images/M/MV5BMTQyMjU1MTYxNl5BMl5BanBnXkFtZTcwMjI2MjgyMQ@@._V1._SX94_SY140_.jpg,107 min,"On a flight from Los Angeles to New York, Oliver and Emily make a connection, only to decide that they are poorly suited to be together...",Nigel Cole,Colin Patrick Lynch,http://www.imdb.com/title/tt0391304/,04/22/2005,PG-13,"Rated PG-13 for sexual content, nudity and language.",Reel Love: a Lot Like Real Life,There's nothing better than a great romance... to ruin a perfectly good friendship.,Love|Party|Teen|Movie|Nudity|Nude|Model,Comedy|Drama|Romance,Taryn Manning|Melissa van der Schyff|Lee Garlington|Sarah Ann Morris|Ashton Kutcher|Ali Larter|Kathryn Hahn|Gabriel Mann|Amanda Peet|Aimee Garcia|Molly Cheek|James Read|Theresa Spruill|Tyrone Giordano|Birdie M. Hale
A Mighty Wind,http://ia.media-imdb.com/images/M/MV5BMTIzMjQ2ODAyNV5BMl5BanBnXkFtZTcwMDYzMjAwMQ@@._V1._SX94_SY140_.jpg,91 min,Mockumentary captures the reunion of 1960s folk trio the Folksmen as they prepare for a show at The Town Hall to memorialize a recently deceased concert promoter.,Christopher Guest,"Christopher Guest, Eugene Levy",http://www.imdb.com/find?s=all&q=a+mighty+wind,05/09/2003,PG-13,Rated PG-13 for sex-related humor.,Another CG Movie to Add to My Favorites,"Back together for the first time, again.",The|Folksmen|Concert|Reunion|New|York|City|1960s,Comedy|Music,Laura Harris|Mary Gross|Eugene Levy|Michael McKean|Jim Moret|Harry Shearer|Ryan Raddatz|Christopher Guest|Brian Riley|Todd Lieberman|Matthew Joy|Jared Nelson Smith|Marty Belafsky|Michael Baser|Stuart Luce
A Prairie Home Companion,http://ia.media-imdb.com/images/M/MV5BMTYwOTgzMTA3NF5BMl5BanBnXkFtZTcwMjYxMDMzMQ@@._V1._SX94_SY140_.jpg,105 min,"A look at what goes on backstage during the last broadcast of America's most celebrated radio show, where singing cowboys Dusty and Lefty, a country music siren, and a host of others hold court.",Robert Altman,Garrison Keillor,http://www.imdb.com/title/tt0420087/,06/09/2006,PG-13,Rated PG-13 for risque humor.,This is Altman in his element,Radio like you've never seen it before.,Radio|Singing|Cowboy|Angel|Performance,Comedy|Drama|Musical,Tom Keith|Lindsay Lohan|Garrison Keillor|Kevin Kline|L.Q. Jones|Lily Tomlin|Sue Scott|Tim Russell|Tommy Lee Jones|John C. Reilly|Marylouise Burke|Meryl Streep|Maya Rudolph|Virginia Madsen|Woody Harrelson
A Scanner Darkly,http://ia.media-imdb.com/images/M/MV5BMTc1NDIzMjQyOV5BMl5BanBnXkFtZTcwNzQ1NzA0MQ@@._V1._SX100_SY125_.jpg,100 min,An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.,Richard Linklater,"Philip K. Dick, Richard Linklater",http://www.imdb.com/title/tt0405296/,07/28/2006,R,"Rated R for drug and sexual content, language and a brief violent image.",A Must for Fans of Dick and Linklater,What Does A Scanner See?,Drugs|Substance|D|Substance|Undercover|Undercover|Cop,Animation|Crime|Drama|Mystery|Sci-Fi|Thriller,Chamblee Ferguson|Steven Chester Prince|Sean Allen|Natasha Valdez|Mitch Baker|Sarah Menchaca|Eliza Stevens|Keanu Reeves|Robert Downey Jr.|Winona Ryder|Angela Rawna|Mark Turner|Cliff Haby|Woody Harrelson|Rory Cochrane
Accepted,http://ia.media-imdb.com/images/M/MV5BMTkzNzY5OTc3Nl5BMl5BanBnXkFtZTcwNjE4NDQzMQ@@._V1._SX94_SY140_.jpg,90 min,"When a high school burnout discovers he's been rejected from every college he's applied to, he creates a fake university in order to fool his overzealous parents.",Steve Pink,"Adam Cooper, Bill Collage",http://www.imdb.com/title/tt0384793/,08/18/2006,PG-13,"Rated PG-13 for language, sexual material and drug content.",Ask me about my....,Reject rejection,College|Student|Dean|University|Education,Comedy,Joe Hursley|Anthony Heald|Diora Baird|Ann Cusack|Justin Long|Robin Taylor|Columbus Short|Maria Thayer|Adam Herschman|Hannah Marks|Jeremy Howard|Lewis Black|Mark Derwin|Blake Lively|Jonah Hill
Across the Universe,http://ia.media-imdb.com/images/M/MV5BMTIyNzkyODI0M15BMl5BanBnXkFtZTcwODYzMzc1MQ@@._V1._SX100_SY136_.jpg,133 min,The music of the Beatles and the Vietnam War form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist.,Julie Taymor,"Dick Clement, Ian La Frenais",http://www.imdb.com/title/tt0445922/,10/12/2007,PG-13,"Rated PG-13 for some drug content, nudity, sexuality, violence and language.",Let's say Hair and Moulin Rouge had a baby...,All you need is love.,The|Beatles|Love|Song|Protest|1960s,Adventure|Drama|Musical|Romance,Angela Mounsey|Christopher Tierney|Curtis Holbrook|Michael Ryan|Dana Fuchs|Joe Anderson|Nicholas Lumley|Erin Elliott|Jim Sturgess|Evan Rachel Wood|Martin Luther|Robert Clohessy|T.V. Carpio|Lisa Hogg|Spencer Liff
Across the Pacific,http://ia.media-imdb.com/images/M/MV5BMjA0MjI5OTM2MF5BMl5BanBnXkFtZTcwOTM4NzMyMQ@@._V1._SX77_SY140_.jpg,97 min,Rick Leland makes no secret of the fact he has no loyalty to his home country after he is court-marshaled...,John Huston,"Richard Macaulay, Robert Carson",http://www.imdb.com/title/tt0034428/,09/05/1942,Approved,"","A Strange Title Since It's Set In The Atlantic, But A Nice Spy Caper","",Panama|Japanese|Passenger|Panama|Canal|Saboteur,Action|Adventure|Drama|Romance|War,Tom Stevenson|Roland Got|Victor Sen Yung|Frank Wilcox|Lee Tung Foo|Mary Astor|Sydney Greenstreet|Chester Gan|Roland Drew|John Hamilton|Paul Stanton|Humphrey Bogart|Charles Halton|Monte Blue|Lester Matthews
The Air I Breathe,http://ia.media-imdb.com/images/M/MV5BMTgyMjgwNjkxOV5BMl5BanBnXkFtZTcwNDU2MzU1MQ@@._V1._SX93_SY140_.jpg,95 min,"A drama based on an ancient Chinese proverb that breaks life down into four emotional cornerstones: happiness, pleasure, sorrow and love. A businessman bets his life on a horse race; a gangster sees the future; a pop star falls prey to a crime boss; a doctor must save the love of his life.",Jieho Lee,"Jieho Lee, Bob DeRosa","http://www.imdb.com/find?s=all&q=air+i+breathe,+the",12/13/2007,R,"Rated R for violence, language and some sexual content/nudity.",Core -Shaker,Sometimes the things we can't change...end up changing us.,Gangster|Doctor|Pop|Star|Horse|Horse|Race,Crime|Drama|Romance|Thriller,Jon Bernthal|Victor Rivers|Emile Hirsch|Clark Gregg|Andy Garcia|Cecilia Su&#xE1;rez|Forest Whitaker|Taylor Nichols|Kelly Hu|Kevin Bacon|Evan Parke|Sarah Michelle Gellar|Todd Stashwick|Brendan Fraser|Julie Delpy
Akeelah and the Bee,http://ia.media-imdb.com/images/M/MV5BMTUzMDIwNjIzM15BMl5BanBnXkFtZTcwNTczODQzMQ@@._V1._SX94_SY140_.jpg,USA:112 min  | Argentina:112 min,A young girl from South Los Angeles tries to make it to the National Spelling Bee.,Doug Atchison,Doug Atchison,http://www.imdb.com/find?s=all&q=akeelah+and+the+bee,04/28/2006,PG,Rated PG for some language.,Inspiring and necessary,Changing the world... one word at a time.,Spelling|Spelling|Bee|Principal|School|Principal|Middle|School,Drama|Family,Dalia Phillips|J.R. Villarreal|Eddie Steeples|Erica Hubbard|Lee Thompson Young|Sahara Garey|Keke Palmer|Laurence Fishburne|Jeris Poindexter|Angela Bassett|Sara Niemietz|Curtis Armstrong|Julito McCullum|Tzi Ma|Sean Michael
Ali,http://ia.media-imdb.com/images/M/MV5BMTM0OTMyOTk0NV5BMl5BanBnXkFtZTcwODA4MDYyMQ@@._V1._SX100_SY138_.jpg,157 min  | USA:165 min (director's cut),"A biography of sports legend, Muhammad Ali, from his early days to his days in the ring.",Michael Mann,"Gregory Allen Howard, Stephen J. Rivele",http://www.imdb.com/title/tt0248667/,12/25/2001,R,Rated R for some language and brief violence. (also director's cut),"Not a boxing movie, a landmark film",Forget What You Think You Know,Boxer|Muhammad|Ali|Friendship|Victory|Malcolm|X,Biography|Drama|Sport,Paul Rodriguez|Mykelti Williamson|Jamie Foxx|Will Smith|Giancarlo Esposito|Jeffrey Wright|Ron Silver|Joe Morton|Nona Gaye|Michael Michele|Jada Pinkett Smith|Mario Van Peebles|Jon Voight|Barry Shabaka Henley|Bruce McGill
All the President's Men,http://ia.media-imdb.com/images/M/MV5BMTAxNDg3NjIyMTleQTJeQWpwZ15BbWU3MDE0MTgyMzE@._V1._SX100_SY113_.jpg,138 min  | Spain:125 min (TV version),Reporters Woodward and Bernstein uncover the details of the Watergate scandal that leads to President Nixon's resignation.,Alan J. Pakula,"Carl Bernstein, Bob Woodward",http://www.imdb.com/title/tt0074119/,04/09/1976,PG,"",Truth is stranger...,"At times it looked like it might cost them their jobs, their reputations, and maybe even their lives.",Nixon|Watergate|Reporter|Journalist|White|House,Drama|History|Thriller,Jason Robards|Robert Redford|Ned Beatty|Martin Balsam|Dustin Hoffman|Penny Fuller|Meredith Baxter|Hal Holbrook|John McMartin|Jack Warden|Robert Walden|Stephen Collins|Jane Alexander|F. Murray Abraham|Frank Wills
Alpha Dog,http://ia.media-imdb.com/images/M/MV5BMTU3Nzg5Mjg1OF5BMl5BanBnXkFtZTcwNzg0MzQ0MQ@@._V1._SX100_SY140_.jpg,USA:122 min  | USA:117 min (Sundance Film Festival) | Germany:118 min  | Argentina:122 min,"A drama based on the life of Jesse James Hollywood, a drug dealer who became one of the youngest men ever to be on the FBI's most wanted list.",Nick Cassavetes,Nick Cassavetes,http://www.imdb.com/title/tt0426883/,01/12/2007,R,"Rated R for pervasive drug use and language, strong violence, sexuality and nudity.",Good...disturbing.,Inspired by true events.,Drug|Dealer|Drugs|Gang|Party|California,Crime|Drama,Alec Vigil|Vincent Kartheiser|Matthew Barry|Nicole Dubos|Harry Dean Stanton|Emile Hirsch|Shawn Hatosy|Laura Nativo|Alex Solowitz|Regina Rice|Fernando Vargas|Ben Foster|Frank Cassavetes|Justin Timberlake|Bruce Willis
Alvin and the Chipmunks,http://ia.media-imdb.com/images/M/MV5BMTc1NTc2MzM2N15BMl5BanBnXkFtZTcwNjg0MjQ2MQ@@._V1._SX100_SY138_.jpg,92 min,"A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: mischievous leader Alvin, brainy Simon, and chubby, impressionable Theodore.",Tim Hill,"Jon Vitti, Will McRobb",http://www.imdb.com/title/tt0952640/,12/14/2007,PG,Rated PG for some mild rude humor.,After 50 years Alvin still has it,Here comes trouble.,Chipmunk|Songwriter|Lip|Synching|Security|Guard|Electric|Guitar,Comedy|Drama|Family|Fantasy|Music,Lorne Green|Jason Lee|Veronica Alicino|Matthew Gray Gubler|Justin Long|Jane Lynch|Cameron Richardson|David Cross|Don Tiffany|Adriane Lenox|Beth Riesgraf|Tiara Parker|Kira Verrastro|Allison Karman|Jesse McCartney
Amadeus,http://ia.media-imdb.com/images/M/MV5BMTIwMTQ1NjgxN15BMl5BanBnXkFtZTcwNjkzMTQyMQ@@._V1._SX95_SY140_.jpg,160 min  | 180 min (director's cut),"The incredible story of Wolfgang Amadeus Mozart, told in flashback mode by Antonio Salieri - now confined to an insane asylum.",Milos Forman,Peter Shaffer,http://www.imdb.com/title/tt0086879/,09/19/1984,R,Rated R for brief nudity. (director's cut),A rare masterpiece,Amadeus. The man. The music. The magic. The madness. The murder. The mystery. The motion picture.,Envy|Musician|Asylum|Flashback|Loss|Of|Father,Drama|Music,Roderick Cook|Kenny Baker|Jeffrey Jones|Barbara Bryne|Tom Hulce|Lisabeth Bartlett|Kenneth McMillan|Milan Demjanenko|Charles Kay|Simon Callow|Roy Dotrice|Elizabeth Berridge|Martin Cavina|Christine Ebersole|F. Murray Abraham
Amazing Grace,http://ia.media-imdb.com/images/M/MV5BOTMxODM0NTQxNV5BMl5BanBnXkFtZTcwNjg1MTU1MQ@@._V1._SX99_SY140_.jpg,117 min  | USA:111 min  | Canada:111 min (Toronto International Film Festival),"The idealist William Wilberforce maneuvers his way through Parliament, endeavoring to end the British transatlantic slave trade.",Michael Apted,Steven Knight,http://www.imdb.com/title/tt0454776/,02/23/2007,PG,"Rated PG for thematic material involving slavery, and some mild language.","Great story, well told",Behind the song you love is a story you will never forget.,Slave|William|Wilberforce|Social|Justice|Abolition|Olaudah|Equiano,Biography|Drama|History|Romance,Stephen Campbell Moore|Ciar&#xE1;n Hinds|Sylvestra Le Touzel|Nicholas Day|Youssou N'Dour|Ioan Gruffudd|Bill Paterson|Nicholas Farrell|Benedict Cumberbatch|Albert Finney|Jeremy Swift|Michael Gambon|Toby Jones|Rufus Sewell|Romola Garai
American Meth,,USA:72 min,"",Justin Hunt,"",http://www.imdb.com/find?s=all&q=american+meth,02/26/2008,,"",Sobering...,"","",Documentary,Val Kilmer|Justin Hunt
Anchorman: The Legend of Ron Burgundy,http://ia.media-imdb.com/images/M/MV5BMTMyMzIxMjA2M15BMl5BanBnXkFtZTcwNTQxOTUyMQ@@._V1._SX95_SY140_.jpg,94 min  | USA:104 min (extended version) | Canada:97 min,"Ron Burgundy is San Diego's top rated newsman in the male dominated broadcasting of the 1970's, but that's all about to change when a new female employee with ambition to burn arrives in his office.",Adam McKay,"Will Ferrell, Adam McKay",http://www.imdb.com/title/tt0357413/,07/09/2004,PG-13,"Rated PG-13 for sexual humor, language and comic violence. (edited for re-rating)",The perfected art of being stupid,His news is bigger than your news.,1970s|Anchorman|Newsroom|Cat|Sexism,Comedy|Romance,Paul F. Tompkins|Fred Willard|David Koechner|Christina Applegate|Will Ferrell|Seth Rogen|Fred Armisen|Kathryn Hahn|Chris Parnell|Darcy Donavan|Paul Rudd|Ian Roberts|Scot Robinson|Danny Trejo|Steve Carell
And When Did You Last See Your Father?,http://ia.media-imdb.com/images/M/MV5BNjI1MTcxMzg0M15BMl5BanBnXkFtZTcwOTM3NTM2MQ@@._V1._SX94_SY140_.jpg,92 min,The story of a son's conflicting memories of his dying father.,Anand Tucker,"Blake Morrison, David Nicholls",http://www.imdb.com/find?s=all&q=and+when+did+you+last+see+your+father?,10/05/2007,PG-13,"Rated PG-13 for sexual content, thematic material and brief strong language.",How to take a familiar subject and make a superb film from it,A parent and a child. The past and the present. Memories and secrets. Can you know someone for a lifetime.... and not know them at all? The life of a father. Through the journey of a son.,Death|Dying|Hospital|Cancer|Deathbed,Biography|Drama,Chris Middleton|Gina McKee|Elliot Avery|Jim Broadbent|Matthew Beard|Claire Skinner|Tom Butcher|Elaine Cassidy|Rhiannon Howden|Sarah Lancashire|Juliet Stevenson|Alannah Barlow|Bradley Johnson|Tara Berwin|Colin Firth
Antwone Fisher,http://ia.media-imdb.com/images/M/MV5BNzQ4MjI1ODI0NF5BMl5BanBnXkFtZTcwMjA0MTQyMQ@@._V1._SX94_SY140_.jpg,120 min  | Canada:117 min (Toronto International Film Festival),"Antwone Fisher, a young navy man, is forced to see a psychiatrist after a violent outburst against a fellow crewman. During the course of treatment a painful past is revealed and a new hope begins.",Denzel Washington,Antwone Fisher,http://www.imdb.com/title/tt0168786/,01/10/2003,PG-13,"Rated PG-13 for violence, language and mature thematic material involving child abuse.",A classic `grab at your heart' story about a troubled young man's life and search for happiness.,Inspired by a true story.,Psychiatrist|Navy|Sailor|Beating|Anger,Biography|Drama|Romance,Leonard Earl Howze|Kevin Connolly|Leo Nepomuceno|Joy Bryant|Derek Luke|Stephen Snedden|Kente Scott|Novella Nelson|Rainoldo Gooding|Cory Hodges|Salli Richardson-Whitfield|Sung Kang|Cordell Stokes|Denzel Washington|Malcolm David Kelley
